,date,id,title,publishedAt,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,age,playListTitle
12698,2021-01-06,Xzvvv7RyRZc,Cracking Christmas Storytime from Chipping Barnet Library,2020-12-08 14:28:20+00:00,133,4,0,0,0.0,child,Barnet libraries for children
12591,2021-01-06,h80aBxH7Rqg,How to search for and reserve an eAudiobook on the BorrowBox App,2020-04-28 11:57:06+00:00,133,3,0,0,0.0,adult,Barnet Libraries - Instructions for using online services
12604,2021-01-06,9eFCtGId4_Q,Barnet Libraries celebrate Elmer Day. Make an Origami Elmer with Hennal,2020-05-21 08:09:34+00:00,134,6,0,0,0.0,child,Barnet libraries for children
12620,2021-01-06,76VHflXGnH0,Tips for Reading to your Newborn Baby,2020-06-11 07:19:49+00:00,135,1,0,0,0.0,child,Barnet libraries for children
12675,2021-01-06,Mds8iPYC3EU,There's a Witch in your Book Storytime with Becca the Library Witch,2020-10-22 08:29:55+00:00,141,1,0,0,0.0,child,Barnet libraries for children
12682,2021-01-06,thhzQyUo2vs,Dinosaur Hat Craft activity,2020-06-15 09:00:12+00:00,150,5,1,0,0.0,child,Barnet libraries for children
12631,2021-01-06,YtaU3tgJe5g,Silly Squad Snap!,2020-07-01 14:38:39+00:00,151,6,0,0,0.0,child,Barnet libraries for children
12677,2021-01-06,PFTa0YQggww,Magnificent Menorahs!,2020-11-11 15:23:17+00:00,162,5,0,0,0.0,child,Barnet libraries for children
12621,2021-01-06,FNOxiK3POM4,Rhymes for newborn babies,2020-06-11 09:16:52+00:00,174,2,0,0,0.0,child,Barnet libraries for children
12581,2021-01-06,_vH5Hb1k-CM,Learn Origami with Hennal - Part 2 Make a Tulip! Brought to you by Barnet Libraries.,2020-04-25 07:00:21+00:00,174,8,0,0,0.0,all,Barnet Libraries arts and crafts for all ages
12584,2021-01-06,6521sN0ioWQ,Barnet Libraries Painting with Marbles! Learn this painting technique with Becca.,2020-04-23 09:56:39+00:00,175,4,0,0,0.0,child,Barnet libraries for children
12688,2021-01-06,hLudK3KCO0g,DIY Christmas Gifts – Soap Making,2020-11-23 08:42:14+00:00,179,16,0,0,1.0,all,Barnet Libraries arts and crafts for all ages
12583,2021-01-06,75NYFHaq91g,Fun with Bears and Books  - A Barnet Libraries event with Tracey.,2020-04-23 16:19:34+00:00,182,8,0,0,0.0,child,Barnet libraries for children
12601,2021-01-06,V14tscU4gc8,Kitchen Cupboard Musical Instruments,2020-05-15 09:00:14+00:00,200,4,0,0,0.0,child,Barnet libraries for children
12603,2021-01-06,BCLXzs5Jxao,Animal Storytime with Tracey,2020-05-20 13:00:06+00:00,212,2,1,0,0.0,child,Barnet libraries for children
12664,2021-01-06,Ss6kWbMfjog,Make a Joke Book Craft Activity,2020-09-02 07:00:30+00:00,215,5,1,0,0.0,child,Barnet libraries for children
12607,2021-01-06,I7mk13Y_hJc,Crafty Crocodiles  - children's craft activity,2020-05-15 16:35:17+00:00,220,3,0,0,0.0,child,Barnet libraries for children
12648,2021-01-06,WBKGm9DWF7E,There's a Hole in the Bottom of the Sea  -  Storytime,2020-07-27 07:48:10+00:00,225,1,1,0,0.0,child,Barnet libraries for children
12625,2021-01-06,It8w58fYuPg,Do the Dinosaur  - Story and Song Time,2020-06-18 14:39:57+00:00,225,2,0,0,0.0,child,Barnet libraries for children
12612,2021-01-06,WCMwi_12BZA,Rainbow Storytime with Tracey,2020-05-27 07:40:05+00:00,232,3,0,0,0.0,child,Barnet libraries for children
12586,2021-01-06,yerjgsDsKKs,Learn Origami with Hennal - Part 1 A simple box or desk tidy. Brought to you by Barnet Libraries.,2020-04-22 07:42:02+00:00,250,11,0,0,0.0,all,Barnet Libraries arts and crafts for all ages
12609,2021-01-06,0bDbnwLsC2E,Animal Rhymes with Crocodiles,2020-05-21 16:50:14+00:00,271,2,0,0,0.0,child,Barnet libraries for children
12585,2021-01-06,_aPADMmhzKA,Staying Safe at Home Song -  a message from Barnet Libraries early years team.,2020-04-23 08:00:12+00:00,273,3,0,0,0.0,child,Barnet libraries for children
12647,2021-01-06,IAzOsFqWuok,Seaside Songs and Rhymes,2020-07-24 14:04:27+00:00,283,2,1,0,0.0,child,Barnet libraries for children
12588,2021-01-06,UGbpilB51OI,Barnet Libraries Rainbow Heart Craft with Zdena,2020-04-15 15:33:19+00:00,289,10,0,0,0.0,child,Barnet libraries for children
12592,2021-01-06,dR9sEdS1kJA,How to borrow an eAudiobook on the BorrowBox App,2020-04-28 11:54:08+00:00,293,4,0,0,2.0,adult,Barnet Libraries - Instructions for using online services
12634,2021-01-06,ir3raD6d2-Y,Silly Squad Quiz,2020-07-09 15:17:20+00:00,302,10,0,0,0.0,child,Barnet libraries for children
12606,2021-01-06,1QVcXsKAhLY,Barnet Libraries quiz  - Round 1 Book Covers,2020-05-20 09:45:36+00:00,310,7,0,0,1.0,adult,Barnet Libraries Book Quiz
12679,2021-01-06,jgq18xHSsSw,Barnet Libraries Book Quiz Round 10 -  Nordic Noir,2020-07-31 18:00:11+00:00,323,8,0,0,1.0,adult,Barnet Libraries Book Quiz
12633,2021-01-06,kPTZKphtYWk,All Time Favourite Rhymes with Jayne,2020-06-26 09:00:10+00:00,355,4,0,0,0.0,child,Barnet libraries for children
12709,2021-01-06,Dte2jaAK2Pg,Fezziwigs Party,2020-12-21 15:34:06+00:00,364,8,0,0,1.0,adult,Barnet Local Studies
12681,2021-01-06,m5xIRRIkAqQ,Barnet Ghosts,2020-10-30 14:30:12+00:00,368,8,1,0,0.0,adult,Barnet Local Studies
12672,2021-01-06,WM6ynTrH-5U,“Before Windrush” Barnet’s Black History from the 17th to the early 20th centuries.,2020-10-17 08:00:11+00:00,403,6,0,0,1.0,adult,Barnet Local Studies
12619,2021-01-06,Q59iCWigdUQ,Garden themed Story & Rhyme time,2020-06-05 16:54:03+00:00,447,7,0,0,0.0,child,Barnet libraries for children
12608,2021-01-06,nDbxU4US1Rk,Barnet libraries - Counting Rhymes with Jayne,2020-05-12 08:04:23+00:00,464,2,1,0,0.0,child,Barnet libraries for children
12615,2021-01-06,XO8Cq3b3XCY,Our Bodies -  Story and Rhyme Time,2020-05-28 12:15:53+00:00,486,6,0,0,0.0,child,Barnet libraries for children
12587,2021-01-06,SDDzDMiXkHI,Barnet Libraries Kaleidoscope Craft with Becca,2020-04-16 12:05:19+00:00,491,9,1,0,0.0,child,Barnet libraries for children
12602,2021-01-06,zGUd-xTg5Fs,Barnet Libraries Songs and Rhymes with Instruments,2020-05-18 08:45:00+00:00,543,7,0,0,0.0,child,Barnet libraries for children
12614,2021-01-06,3j8A-AGIGmE,Dot Mandala Coaster Tutorial with Amanda - a craft tutorial from Barnet Libraries,2020-06-01 11:59:57+00:00,581,16,0,0,3.0,all,Barnet Libraries arts and crafts for all ages
12593,2021-01-06,PEB8uHatmGc,Get started with the BorrowBox App for eAudio books,2020-04-28 11:47:15+00:00,617,6,0,0,0.0,adult,Barnet Libraries - Instructions for using online services
12613,2021-01-06,eXNAvEOQcuc,Barnet Libraries Book Quiz  - Round 2 Missing Vowels,2020-05-29 07:44:35+00:00,692,6,0,0,0.0,adult,Barnet Libraries Book Quiz
12643,2021-01-06,DUR0urc_reI,A Balloon Trip over High Barnet in the 1860's,2020-07-23 15:02:56+00:00,705,13,0,0,2.0,adult,Barnet Local Studies
12595,2021-01-06,65CpFDlMljY,Pyjamarama 2020 - My Pet Star Story and Rhyme event with Tracey,2020-05-01 08:30:02+00:00,871,8,0,0,0.0,child,Barnet libraries for children
12616,2021-01-06,zPnyWgwatzs,Baby Rhyme Time with Tracey,2020-05-28 07:06:41+00:00,945,5,0,0,0.0,child,Barnet libraries for children
12589,2021-01-06,guFtSqHU6pk,The Story of Finchley Common from Barnet libraries and local studies.,2020-04-27 08:01:25+00:00,971,21,0,0,3.0,adult,Barnet Local Studies
12598,2021-01-06,72kCoEhfIjE,Wartime Barnet - VE Day 75. Barnet's Local Studies team look back at the borough at war.,2020-05-06 11:46:07+00:00,1005,20,0,0,0.0,adult,Barnet Local Studies
12597,2021-01-06,AQufCIv82eM,"Car, Car, Truck, Jeep  - A transport themed Rhyme and Story Time with Jayne from Barnet Libraries.",2020-05-06 05:00:02+00:00,1078,9,0,0,0.0,child,Barnet libraries for children
12579,2021-01-06,aE7wqHnNzmA,Barnet Libraries Baby Bounce & Play with Jayne,2020-04-09 12:35:07+00:00,1279,17,0,0,0.0,child,Barnet libraries for children
12610,2021-01-06,LMGd2cSq4KU,By Steam from Finsbury Park to Edgware.,2020-05-26 08:50:36+00:00,1396,28,0,0,9.0,adult,Barnet Local Studies
12594,2021-01-06,Hpng6KwBEk8,Barnet Libraries Origami Animal Bookmarks,2020-05-01 08:00:13+00:00,1475,21,1,0,0.0,child,Barnet libraries for children
12580,2021-01-06,iAg127__YVo,Barnet Libraries Sing and Move with Tracey,2020-04-16 13:37:20+00:00,1667,18,0,0,0.0,child,Barnet libraries for children
12582,2021-01-06,bgEQkyFTmU0,Farmyard Rhyme Time with Jayne,2020-04-23 18:41:22+00:00,1736,19,1,0,0.0,child,Barnet libraries for children
12578,2021-01-06,O-3kfbECiYw,Barnet Libraries Rhyme Time with Tracey No 1,2020-04-02 17:29:35+00:00,5759,71,2,0,0.0,child,Barnet libraries for children
