Week commencing,Bolinda,Overdrive,Pressreader,RBDigital
2013-03-04,,17.142857142857142,,
2013-03-11,,18.857142857142858,,
2013-03-18,,18.0,,
2013-03-25,,21.0,,
2013-04-01,,23.857142857142854,,
2013-04-08,,23.57142857142857,,
2013-04-15,,21.142857142857142,,
2013-04-22,,19.428571428571427,,
2013-04-29,,19.571428571428573,,
2013-05-06,,21.857142857142854,,
2013-05-13,,24.285714285714285,,
2013-05-20,,27.0,,
2013-05-27,,22.428571428571423,,
2013-06-03,,28.0,,
2013-06-10,,25.0,,
2013-06-17,,26.142857142857146,,
2013-06-24,,21.0,,
2013-07-01,,27.57142857142857,,
2013-07-08,,27.714285714285715,,
2013-07-15,,25.857142857142854,,
2013-07-22,,29.857142857142854,,
2013-07-29,,23.83333333333333,,
2013-08-05,,31.285714285714285,,
